athlete_id,age,team_id,game_id,sport_id,event_id,medal
85,28,982,33,11,96,G
86,22,982,33,7,50,
88,25,978,33,7,97,
108,20,507,33,22,114,
109,27,556,33,7,115,
114,20,556,33,7,68,
247,24,15,33,7,74,
274,24,497,33,7,143,
284,27,1026,33,3,3,
285,NA,497,33,17,151,
303,NA,497,33,18,160,
308,21,556,33,9,15,
308,21,556,33,9,52,
347,18,556,33,7,198,
358,NA,587,33,29,202,
378,NA,232,33,16,36,
443,29,154,33,18,168,G
447,28,106,33,27,174,
509,21,413,33,9,150,
509,21,413,33,9,52,
509,21,413,33,9,54,B
513,21,810,33,22,258,
545,23,978,33,7,74,
570,23,249,33,1,1,
572,19,816,33,9,107,
572,19,816,33,9,185,
572,19,816,33,9,150,
582,22,978,33,18,204,G
618,25,978,33,24,57,
618,25,978,33,24,58,B
619,20,978,33,18,95,G
688,23,1026,33,2,284,
724,20,1128,33,3,3,
745,23,810,33,27,109,B
766,29,259,33,24,58,
789,20,259,33,9,185,
789,20,259,33,9,15,
789,20,259,33,9,108,
815,26,1065,33,7,104,
830,21,413,33,2,91,S
853,22,1012,33,29,75,
853,22,1012,33,29,209,
860,23,810,33,7,163,
871,21,15,33,2,80,
906,33,705,33,2,201,
906,33,705,33,2,284,
934,22,722,33,27,191,
940,25,722,33,3,3,
947,28,138,33,1,1,
948,21,722,33,7,104,
948,21,722,33,7,148,
948,21,722,33,7,67,
983,NA,15,33,18,204,
984,21,413,33,9,170,
1003,16,1012,33,13,213,
1003,16,1012,33,13,215,
1003,16,1012,33,13,216,
1003,16,1012,33,13,217,
1003,16,1012,33,13,218,
1013,22,106,33,27,92,
1031,24,678,33,18,166,
1033,27,678,33,17,149,
1079,26,1019,33,16,88,
1123,19,917,33,7,181,
1135,22,362,33,7,48,
1142,27,413,33,24,313,
1166,22,624,33,37,135,
1170,22,106,33,27,69,
1198,21,249,33,16,88,
1230,29,434,33,27,82,
1236,19,236,33,9,19,
1236,19,236,33,9,52,
1236,19,236,33,9,53,
1236,19,236,33,9,189,
1237,20,982,33,20,43,
1249,20,249,33,27,69,B
1292,25,1128,33,3,3,
1302,20,982,33,3,3,
1318,20,172,33,27,174,
1366,25,487,33,25,128,
1366,25,487,33,25,129,
1387,28,497,33,3,3,
1395,NA,497,33,3,3,
