athlete_id,age,team_id,game_id,sport_id,event_id,medal
2,23,199,50,2,2,
34,30,362,50,7,50,
48,24,683,50,27,69,
67,26,874,50,7,70,
73,27,362,50,16,88,G
74,30,45,50,22,89,
91,27,507,50,7,101,
105,19,15,50,27,111,
123,37,770,50,21,120,
127,28,770,50,21,120,
128,28,496,50,22,122,
132,28,507,50,20,125,
155,34,308,50,18,136,
159,19,308,50,39,140,
232,24,308,50,17,78,
236,21,308,50,17,151,
241,23,308,50,18,152,
243,23,308,50,7,163,
249,26,15,50,38,164,
250,22,496,50,18,165,
252,34,66,50,7,167,
256,35,1096,50,7,142,
262,26,172,50,27,109,
299,26,497,50,7,12,
315,26,308,50,24,184,
318,20,497,50,27,111,
338,22,1123,50,18,154,
340,21,74,50,7,195,
343,20,308,50,17,197,
344,23,1094,50,3,3,
345,20,1094,50,3,3,
346,19,308,50,39,139,
346,19,308,50,39,140,
350,25,308,50,17,77,
353,23,557,50,28,200,
357,34,1029,50,18,172,
383,27,496,50,24,153,
395,20,174,50,30,219,
395,20,174,50,30,220,B
400,28,249,50,2,223,
421,23,683,50,3,3,
433,27,982,50,10,16,
441,24,514,50,7,240,
444,27,362,50,3,55,
445,24,722,50,7,13,
455,19,874,50,13,22,
455,19,874,50,13,23,B
455,19,874,50,13,24,S
455,19,874,50,13,25,
455,19,874,50,13,26,
455,19,874,50,13,27,
459,17,722,50,7,246,
493,31,15,50,7,74,
495,21,308,50,24,56,S
495,21,308,50,24,105,
501,33,308,50,3,3,
556,25,816,50,7,148,
560,22,1019,50,3,3,
574,34,225,50,7,103,
575,22,225,50,29,273,
583,31,362,50,29,277,
584,21,332,50,7,142,
593,28,526,50,7,142,
596,28,772,50,2,91,
612,28,526,50,28,199,
620,29,535,50,27,174,
623,31,874,50,48,275,
629,24,362,50,16,88,G
638,21,249,50,7,143,
662,20,982,50,43,210,
664,29,413,50,1,1,
681,24,1083,50,7,232,
683,19,174,50,1,83,
685,17,15,50,38,164,
687,27,1070,50,18,38,
690,27,705,50,22,245,B
719,31,656,50,17,291,
737,37,1096,50,7,300,
738,22,1128,50,9,186,
748,29,514,50,48,275,
752,23,514,50,39,140,
764,27,172,50,7,104,
795,30,810,50,2,91,
799,14,721,50,9,179,
804,23,883,50,7,104,
804,23,883,50,7,148,
804,23,883,50,7,67,
811,20,1096,50,9,314,
824,35,66,50,7,332,
826,23,874,50,7,181,
832,29,413,50,27,336,G
846,27,716,50,7,97,G
849,29,399,50,22,98,G
867,23,413,50,10,342,
888,27,586,50,7,224,
915,18,322,50,7,74,
925,25,138,50,38,164,G
927,27,413,50,7,175,
942,25,722,50,7,337,
959,28,172,50,27,335,
976,17,1012,50,13,213,
976,17,1012,50,13,215,
976,17,1012,50,13,217,
976,17,1012,50,13,218,
980,23,413,50,9,350,B
980,23,413,50,9,368,B
1017,23,1096,50,9,107,G
1017,23,1096,50,9,186,S
1017,23,1096,50,9,54,G
1023,33,138,50,1,83,
1052,19,96,50,9,123,
1052,19,96,50,9,186,
1057,28,96,50,7,381,
1071,20,874,50,13,214,S
1071,20,874,50,13,215,
1071,20,874,50,13,218,
1074,19,618,50,11,304,
1078,21,1019,50,3,3,
1097,35,419,50,20,43,
1098,28,419,50,20,43,
1108,28,861,50,9,387,
1112,16,878,50,9,179,
1114,31,507,50,22,157,
1134,18,1054,50,40,281,
1169,33,705,50,21,45,G
1173,20,362,50,9,107,
1173,20,362,50,9,185,G
1173,20,362,50,9,186,G
1173,20,362,50,9,108,S
1173,20,362,50,9,54,
1196,21,419,50,11,393,
1202,25,1012,50,16,36,
1203,27,138,50,24,153,
1233,27,1128,50,7,143,
1234,34,982,50,7,103,
1247,28,982,50,20,43,
1254,27,982,50,16,36,B
1262,19,982,50,43,210,
1274,29,982,50,16,88,
1283,22,249,50,30,84,
1283,22,249,50,30,404,
1290,19,783,50,40,281,
1297,23,1121,50,3,3,
1299,28,982,50,16,88,
1316,25,228,50,7,12,
1354,24,1012,50,16,36,
1356,37,399,50,25,62,
1356,37,399,50,25,403,
1372,23,1094,50,3,3,
1374,25,491,50,10,342,
1375,35,770,50,21,120,
1377,30,496,50,26,161,
1377,30,496,50,26,414,
1390,23,621,50,7,104,
1393,23,770,50,21,120,
1405,21,174,50,7,144,
1417,21,308,50,3,3,
1438,21,106,50,7,337,
1439,24,237,50,7,12,
1439,24,237,50,7,175,
1445,31,696,50,26,421,
1451,24,491,50,10,422,
1460,24,331,50,11,352,
1462,20,1065,50,7,12,
1462,20,1065,50,7,13,
1466,26,507,50,20,43,S
1477,29,591,50,7,425,
1481,23,399,50,31,262,B
1498,35,413,50,11,427,G
1514,23,15,50,38,164,
1525,23,1070,50,18,166,
1527,33,15,50,7,103,
1540,39,1084,50,26,147,
1540,39,1084,50,26,180,
1540,39,1084,50,26,64,
1577,20,722,50,27,90,
1598,19,885,50,9,123,
1600,24,1071,50,7,167,
1602,24,1071,50,29,75,
1602,24,1071,50,29,437,
1634,21,1071,50,18,441,
1640,31,255,50,26,178,
1645,26,496,50,18,38,
1649,24,874,50,24,56,
1649,24,874,50,24,105,
1683,24,1096,50,38,164,S
1687,23,722,50,31,262,
1696,24,683,50,7,257,
1729,21,1070,50,11,304,
1755,27,514,50,21,45,
1757,21,722,50,7,148,
1786,27,899,50,7,167,
1797,39,1094,50,26,66,
1799,18,556,50,9,53,
1806,31,831,50,26,66,
1806,31,831,50,26,446,
1809,41,831,50,26,178,B
1817,30,556,50,7,119,
1820,15,497,50,9,52,
1834,24,1094,50,9,387,
1856,27,899,50,7,198,
1858,45,556,50,26,66,B
1858,45,556,50,26,446,
1859,21,1094,50,2,312,
1885,40,899,50,25,62,
1885,40,899,50,25,403,B
1901,21,772,50,7,116,
1903,16,81,50,9,179,
1906,23,308,50,7,117,
1907,18,1170,50,7,50,
1909,20,831,50,7,50,
1922,19,758,50,7,12,
1927,20,831,50,26,161,
1927,20,831,50,26,414,
1932,29,899,50,7,74,
1935,24,1094,50,3,3,
1946,24,758,50,7,104,
1951,25,556,50,40,281,
1955,27,758,50,26,446,
1978,37,899,50,7,74,
1986,23,1094,50,3,3,
2010,23,1170,50,28,72,
2028,27,1094,50,26,446,
2029,35,1094,50,26,178,
2030,17,831,50,7,12,
2038,17,497,50,37,135,
2078,18,1003,50,9,179,
2090,36,899,50,7,74,
2090,36,899,50,7,144,
2096,31,899,50,17,162,
2106,38,683,50,7,103,
2112,48,556,50,26,178,
2113,19,556,50,26,66,
2117,18,308,50,18,280,
2120,35,308,50,22,46,
2134,27,899,50,25,62,
2134,27,899,50,25,403,B
2147,35,556,50,7,101,
2169,19,683,50,7,167,
2180,40,899,50,26,178,
2200,28,556,50,7,117,
2203,32,350,50,18,152,
2207,21,308,50,24,57,
2208,21,308,50,3,3,
2210,26,982,50,11,17,G
2226,16,349,50,7,268,
2236,28,683,50,7,417,
2238,20,496,50,40,281,
2239,22,332,50,7,74,
2276,23,1126,50,7,12,
2286,23,982,50,3,3,
2304,31,1019,50,29,75,
2304,31,1019,50,29,437,
2306,24,874,50,17,398,B
2309,26,1071,50,1,83,
2334,41,511,50,25,128,
2342,29,982,50,16,36,B
2353,23,1121,50,3,3,
2388,23,861,50,22,245,
2405,20,249,50,7,471,
2410,29,249,50,29,75,
2412,27,1096,50,7,167,
2425,39,413,50,7,471,
2426,23,433,50,11,393,
2429,28,1084,50,18,172,
2458,27,982,50,21,120,
2460,31,982,50,21,120,
2463,24,656,50,28,81,
2464,26,716,50,11,369,G
2467,26,825,50,7,115,
2469,40,591,50,7,198,
2471,27,154,50,27,158,
2472,22,74,50,22,378,
2475,19,557,50,9,19,
2496,20,535,50,24,57,
2497,20,55,50,18,136,B
2502,21,567,50,29,477,
2506,24,874,50,7,143,
2512,34,535,50,31,478,
2512,34,535,50,31,439,
2516,20,912,50,31,87,
2517,26,912,50,20,43,B
2520,29,154,50,38,137,
2523,21,93,50,3,3,
2543,25,1128,50,9,186,
2559,21,138,50,3,3,S
2564,30,1065,50,7,471,
2571,18,146,50,7,104,
2574,26,885,50,7,268,
2587,30,138,50,16,36,
2592,22,138,50,3,3,S
2605,22,861,50,18,136,
2618,20,310,50,9,189,
2650,40,1012,50,25,128,
2650,40,1012,50,25,129,
2651,37,1012,50,25,128,S
2651,37,1012,50,25,129,
2664,22,1094,50,3,3,
2670,23,81,50,7,50,
2683,28,611,50,7,101,
2684,37,683,50,24,56,
2685,27,172,50,18,341,
2686,28,770,50,7,104,
2707,17,287,50,7,268,
2717,32,308,50,40,242,
2739,26,246,50,16,88,B
2746,25,535,50,24,57,
2750,30,138,50,3,55,
2755,36,874,50,26,66,
2758,26,139,50,47,272,S
2772,27,331,50,9,179,
2772,27,331,50,9,415,
2779,19,799,50,9,294,
2824,30,507,50,10,190,
2839,22,413,50,1,83,
2846,22,413,50,3,3,
2870,20,413,50,9,351,
2892,23,1065,50,7,143,B
2912,22,413,50,39,139,
2912,22,413,50,39,140,
2913,19,917,50,27,109,
2932,25,87,50,9,150,
2932,25,87,50,9,188,
2932,25,87,50,9,189,
2943,27,306,50,7,142,
2947,26,982,50,32,192,
2952,20,249,50,7,257,
2970,23,816,50,9,387,
2974,24,816,50,7,101,
2976,27,138,50,9,52,
2976,27,138,50,9,53,
2976,27,138,50,9,54,
2977,20,138,50,25,384,
2978,28,35,50,16,36,
2990,28,1012,50,3,55,
3029,28,982,50,16,36,B
3030,21,982,50,27,69,
3050,24,1070,50,16,88,
3052,23,874,50,27,82,B
3054,25,66,50,7,67,
3063,27,81,50,26,414,
3070,34,1012,50,9,179,
3074,32,45,50,11,304,
3077,27,742,50,16,36,G
3097,23,138,50,2,438,
3123,25,413,50,3,55,
3174,21,249,50,27,174,B
3177,21,656,50,37,263,
3177,21,656,50,37,264,
3195,32,249,50,17,447,
3206,26,225,50,2,512,B
3227,25,138,50,38,137,S
3246,18,535,50,43,261,
3270,25,236,50,29,75,
3271,24,249,50,31,516,
3271,24,249,50,31,481,
3280,18,332,50,7,119,
3314,28,225,50,2,513,
3324,34,982,50,21,120,
3326,24,722,50,7,300,
3340,21,1012,50,7,163,
3347,25,66,50,39,139,
3347,25,66,50,39,140,
3351,26,172,50,27,69,
3357,32,71,50,25,128,
3408,18,497,50,26,233,
3409,19,308,50,26,161,
3411,32,80,50,7,13,
3444,21,722,50,1,1,
3445,24,722,50,1,1,
3503,25,138,50,16,36,
3507,29,982,50,16,36,B
3512,18,135,50,7,119,S
3526,17,404,50,17,37,
3533,25,683,50,3,3,
3537,23,1070,50,18,357,
3542,23,683,50,3,3,
3593,32,738,50,2,360,G
3614,24,138,50,16,36,
3616,28,362,50,7,246,
3623,27,514,50,2,330,
3631,26,93,50,7,119,
3655,22,874,50,9,187,
3711,32,66,50,1,1,
3779,27,273,50,26,161,
3792,21,1096,50,9,423,G
3820,20,1096,50,9,541,S
3825,19,66,50,39,140,
3845,25,1096,50,38,137,
3856,24,413,50,1,83,
3929,31,1012,50,7,103,
3939,29,1012,50,16,88,S
3959,34,1012,50,16,88,S
4004,25,537,50,27,553,
4014,30,514,50,3,55,S
4037,31,816,50,11,554,
4043,20,225,50,3,55,
4050,29,1128,50,18,357,
4051,31,399,50,38,137,
4067,26,138,50,7,104,
4067,26,138,50,7,67,
4101,34,138,50,3,55,
4114,37,255,50,26,178,
4117,16,255,50,26,557,
4152,22,66,50,2,201,
4167,30,498,50,7,246,
4169,36,874,50,7,142,
4183,20,874,50,9,231,
4184,18,874,50,9,351,
4211,25,1084,50,18,71,S
4223,22,362,50,22,112,
4231,25,1084,50,29,132,
4235,26,678,50,9,107,
4291,34,45,50,26,64,
4299,27,154,50,18,152,
4310,22,742,50,7,300,
4332,27,507,50,11,554,
4333,31,507,50,13,22,
4333,31,507,50,13,23,
4333,31,507,50,13,24,
4333,31,507,50,13,27,
4368,21,944,50,28,450,
4371,23,535,50,7,332,
4377,28,404,50,7,175,
4449,28,496,50,17,398,S
4469,35,771,50,2,223,
4479,18,477,50,20,125,
4501,21,306,50,18,357,
4505,28,1096,50,1,1,G
4511,22,66,50,2,308,
4523,28,487,50,7,230,
4565,23,35,50,7,119,
4577,23,874,50,1,1,B
4582,20,874,50,20,125,
4584,19,874,50,20,125,
4597,29,874,50,29,132,
4597,29,874,50,29,574,
4598,25,256,50,22,333,
4599,20,256,50,22,333,
4606,23,350,50,17,162,
4613,31,874,50,7,278,G
4613,31,874,50,7,246,S
4614,20,618,50,37,263,
4614,20,618,50,37,264,
4674,30,1071,50,7,117,
4675,29,874,50,38,137,G
4693,26,362,50,24,153,
4698,25,816,50,40,242,
4745,30,967,50,7,142,
4757,22,656,50,3,3,G
4801,27,514,50,38,164,B
4809,17,831,50,9,179,
4814,30,982,50,26,178,
4827,25,225,50,29,290,
4827,25,225,50,29,578,
4834,24,810,50,22,98,
4848,18,1083,50,7,167,
4853,27,514,50,29,75,
4859,30,138,50,27,476,B
4866,25,138,50,7,224,
4871,26,198,50,7,332,
4874,26,198,50,7,319,
4903,20,138,50,7,97,
4913,23,716,50,29,578,
4931,32,413,50,1,1,
4932,31,716,50,21,120,
4933,31,722,50,1,1,
4947,26,1037,50,27,109,
4961,22,332,50,7,232,
4972,18,225,50,7,425,
4975,22,249,50,18,172,
4991,25,567,50,7,47,
5005,30,1121,50,3,3,
5006,19,225,50,7,319,
5009,17,306,50,9,368,
5043,20,291,50,38,164,
5052,26,225,50,3,55,
5054,19,1121,50,3,3,
5055,21,291,50,27,109,
5065,21,1071,50,7,74,
5065,21,1071,50,7,144,
5089,21,225,50,3,55,
5090,21,225,50,3,55,
5091,29,794,50,7,103,
5092,25,683,50,27,159,
5098,29,93,50,33,358,
5103,28,557,50,7,103,
5144,23,413,50,29,132,S
5144,23,413,50,29,574,
5148,22,716,50,22,112,
5152,29,1096,50,20,125,G
5159,31,174,50,7,29,
5167,38,1096,50,29,132,
5167,38,1096,50,29,574,G
5181,22,66,50,9,150,
5184,24,482,50,9,123,
5198,36,399,50,29,132,
5198,36,399,50,29,574,S
5198,36,399,50,29,568,
5254,24,503,50,13,21,
5254,24,503,50,13,23,
5254,24,503,50,13,25,
5254,24,503,50,13,26,
5254,24,503,50,13,27,
5254,24,503,50,13,28,
5299,27,507,50,38,164,
5314,35,45,50,38,137,
5318,20,306,50,17,127,
5335,18,646,50,9,349,
5339,20,503,50,2,2,
5346,25,912,50,26,161,
5346,25,912,50,26,414,
5353,37,874,50,38,164,
5358,23,306,50,7,319,
5366,29,874,50,1,83,
5383,29,1123,50,7,224,
5385,17,674,50,9,387,
5393,26,255,50,7,175,
5405,23,722,50,40,281,
5406,25,912,50,26,233,
5406,25,912,50,26,234,
5410,24,331,50,18,136,
5416,27,419,50,47,397,
5428,28,1012,50,32,509,
5428,28,1012,50,32,510,
5443,24,93,50,7,257,
5444,24,496,50,7,68,
5445,22,874,50,7,257,
5448,25,556,50,26,161,
5448,25,556,50,26,414,
5453,28,591,50,33,358,G
5457,36,514,50,47,272,
5471,25,514,50,21,45,
5475,22,1123,50,7,278,
5476,27,413,50,3,55,
5554,20,770,50,7,257,
5577,19,66,50,9,368,
5598,30,496,50,7,101,
5600,26,557,50,7,119,
5631,22,1012,50,3,55,
5639,32,322,50,7,142,
5650,36,66,50,26,233,
5656,27,794,50,22,378,
5667,21,362,50,9,541,
5670,25,507,50,24,56,
5670,25,507,50,24,105,G
5681,21,308,50,40,281,
5681,21,308,50,40,242,
5686,26,332,50,7,232,
5687,24,332,50,7,417,B
5689,20,15,50,2,438,
5717,26,350,50,7,148,
5723,27,722,50,7,12,
5723,27,722,50,7,175,
5723,27,722,50,7,13,
5724,54,74,50,26,233,
5724,54,74,50,26,234,
5734,23,683,50,28,81,
5735,30,683,50,18,136,
