athlete_id,age,team_id,game_id,sport_id,event_id,medal
4,34,274,2,4,4,G
133,NA,399,2,13,21,
150,23,1096,2,35,133,G
151,42,1096,2,35,133,
404,15,1134,2,22,98,G
676,NA,362,2,24,57,
757,NA,362,2,24,57,
758,NA,362,2,9,185,
1006,NA,362,2,26,66,
1538,20,1092,2,52,433,G
2316,NA,1092,2,52,433,G
2317,NA,639,2,11,458,
2317,NA,638,2,11,459,S
2317,NA,638,2,11,459,B
2550,57,362,2,24,479,
2723,22,362,2,24,57,
2823,NA,362,2,13,21,
2829,18,1122,2,3,3,S
3346,18,362,2,29,202,
3476,21,342,2,22,208,B
3536,29,368,2,52,433,S
3654,34,362,2,24,528,
3654,34,362,2,24,529,
3654,34,362,2,24,479,
3678,30,71,2,9,534,
3678,30,71,2,9,535,
3703,23,742,2,7,48,
3703,23,742,2,7,47,B
3871,40,1092,2,57,550,S
4073,NA,362,2,24,57,
4204,NA,362,2,24,529,
4343,NA,219,2,22,208,
4378,21,399,2,20,43,
4378,21,399,2,9,535,
4397,NA,362,2,26,66,
4914,NA,362,2,25,579,S
5538,28,413,2,22,378,B
5684,NA,362,2,24,529,
5871,NA,1092,2,57,550,S
5891,NA,362,2,13,21,
5904,NA,362,2,26,66,
5938,NA,362,2,24,529,
5938,NA,362,2,24,479,
5951,18,362,2,29,202,
5959,31,182,2,11,458,
5959,31,795,2,11,599,
5959,31,181,2,11,599,G
5989,15,362,2,61,601,G
5989,15,362,2,61,602,G
6211,25,362,2,24,529,G
6211,25,362,2,24,606,G
6212,17,362,2,24,529,
6510,17,1122,2,3,3,S
7373,NA,362,2,13,21,
7492,NA,507,2,7,119,
7691,NA,96,2,26,325,
7691,NA,96,2,26,372,
7691,NA,96,2,26,621,
7691,NA,96,2,26,622,
7691,NA,96,2,26,623,
8002,NA,362,2,13,21,
8065,20,362,2,22,378,G
8399,22,362,2,13,21,S
8484,NA,838,2,4,4,S
8513,18,362,2,24,57,
8513,18,362,2,29,631,G
8676,NA,362,2,9,534,
8683,28,243,2,11,458,
8683,28,728,2,11,458,
8683,28,242,2,11,599,S
8683,28,244,2,11,599,B
8683,28,727,2,11,459,B
8683,28,727,2,11,459,
8684,38,728,2,11,458,
8684,38,727,2,11,459,B
8684,38,727,2,11,459,
8716,21,477,2,7,198,G
8862,24,1096,2,7,48,G
8862,24,1096,2,7,317,S
8862,24,1096,2,7,47,G
8862,24,1096,2,7,318,S
8862,24,1096,2,7,636,S
8887,NA,362,2,13,21,
8913,23,684,2,52,433,S
8973,NA,362,2,24,57,
9009,NA,281,2,57,550,G
9069,NA,362,2,37,640,
9076,16,362,2,29,202,
9728,NA,362,2,24,56,
10161,29,413,2,7,50,G
