athlete_id,age,team_id,game_id,sport_id,event_id,medal
27,26,705,35,20,43,
85,32,982,35,11,96,
86,26,982,35,7,50,B
89,21,198,35,22,98,
94,38,198,35,26,102,
107,22,507,35,22,114,G
108,25,507,35,22,114,G
125,28,618,35,21,120,
169,19,526,35,7,145,
188,24,308,35,38,137,
199,23,308,35,1,1,
210,27,308,35,38,137,
235,25,308,35,3,3,
259,21,174,35,9,169,
259,21,174,35,9,170,
259,21,174,35,9,171,B
265,31,308,35,3,3,
283,22,899,35,3,3,
291,26,899,35,3,3,
293,30,526,35,26,180,
294,NA,81,35,26,65,
305,24,899,35,3,3,
327,NA,1094,35,7,104,
373,21,514,35,22,208,
375,18,514,35,29,132,
384,30,172,35,3,3,
434,21,362,35,26,238,
447,32,106,35,27,174,
467,27,172,35,7,115,
467,27,172,35,7,143,
474,29,308,35,1,1,
477,30,308,35,38,137,
481,30,308,35,38,137,
482,22,308,35,3,3,
491,22,15,35,27,111,
492,NA,497,35,18,193,
512,19,487,35,7,257,
512,19,487,35,7,246,
517,22,236,35,7,104,
517,22,236,35,7,148,
524,26,1096,35,17,77,
569,18,138,35,20,43,
592,19,899,35,24,57,
592,19,899,35,24,58,
615,25,556,35,30,279,
615,25,556,35,30,84,
654,19,656,35,18,160,S
655,22,656,35,18,280,
670,24,1019,35,29,209,S
672,25,1083,35,7,142,
678,41,705,35,26,180,
678,41,705,35,26,64,
684,28,308,35,7,29,
717,22,306,35,7,119,
754,21,716,35,29,252,
754,21,716,35,29,290,
779,30,537,35,26,155,
819,24,291,35,2,330,
830,25,413,35,2,80,S
835,39,66,35,26,155,
854,26,511,35,7,142,
889,20,404,35,7,268,
889,20,404,35,7,246,
897,27,722,35,7,67,
907,38,526,35,26,102,
917,24,705,35,22,79,
918,24,138,35,3,3,S
922,21,962,35,7,119,
922,21,962,35,7,50,
936,24,722,35,7,67,
947,32,138,35,1,1,
951,22,1083,35,7,257,
965,20,138,35,11,96,
966,26,138,35,11,44,S
990,NA,237,35,31,237,
1003,20,1012,35,13,213,
1003,20,1012,35,13,215,
1003,20,1012,35,13,216,
1003,20,1012,35,13,217,
1003,20,1012,35,13,218,
1010,23,675,35,9,107,
1019,33,491,35,26,234,
1038,28,482,35,16,88,
1073,26,683,35,29,75,
1109,16,861,35,13,213,
1109,16,861,35,13,214,G
1109,16,861,35,13,215,
1109,16,861,35,13,216,B
1109,16,861,35,13,217,
1109,16,861,35,13,218,
1130,29,722,35,7,181,
1139,23,1096,35,2,312,
1166,26,624,35,37,135,
1177,27,722,35,18,168,
1180,36,602,35,7,142,
1194,26,138,35,1,1,
1206,25,1150,35,22,113,
1209,19,825,35,7,300,
1210,22,255,35,29,75,
1227,28,45,35,7,142,
1236,23,236,35,9,19,
1236,23,236,35,9,53,
1236,23,236,35,9,188,
1237,24,982,35,20,43,
1246,24,777,35,7,148,
1260,24,198,35,7,74,
1260,24,198,35,7,144,
1260,24,198,35,7,142,
1261,22,982,35,20,43,
1304,17,482,35,9,408,
1304,17,482,35,9,409,
1305,23,982,35,21,120,
1315,28,618,35,26,155,
1361,26,742,35,3,3,
1369,22,831,35,3,3,
1383,NA,962,35,7,142,
1400,21,770,35,21,120,G
1408,28,770,35,21,120,G
1457,24,198,35,3,3,
1476,30,15,35,7,50,
1479,22,507,35,22,79,
1557,23,1026,35,27,73,
1558,30,1026,35,17,162,
1569,25,413,35,7,116,
1569,25,413,35,7,143,S
1574,19,514,35,18,95,S
1582,24,537,35,21,120,
1583,43,514,35,26,65,
1585,22,404,35,27,335,
1632,22,1071,35,18,193,
1663,42,770,35,11,44,
1665,23,770,35,21,120,G
1691,19,514,35,43,261,
1704,NA,1003,35,27,158,
1707,25,350,35,7,29,
1738,22,1071,35,7,12,
1738,22,1071,35,7,175,
1738,22,1071,35,7,337,
1754,27,537,35,21,120,
1767,NA,831,35,7,148,
1767,NA,831,35,7,67,
1770,NA,899,35,29,75,
1770,NA,899,35,29,209,
1776,22,556,35,24,56,
1776,22,556,35,24,105,
1778,18,758,35,7,167,
1779,23,758,35,7,104,
1779,23,758,35,7,143,
1782,NA,831,35,3,3,
1785,18,831,35,3,3,
1794,NA,899,35,26,65,
1798,NA,899,35,26,65,
1802,20,556,35,9,107,
1812,19,556,35,24,56,
1812,19,556,35,24,105,
1813,27,526,35,26,64,
1831,18,899,35,37,263,
1835,21,899,35,3,3,
1838,23,899,35,3,3,
1847,28,758,35,26,147,
1847,28,758,35,26,180,
1848,25,758,35,26,180,
1848,25,758,35,26,64,
1872,18,899,35,3,3,
1873,NA,899,35,24,58,
1877,30,899,35,3,3,
1878,20,899,35,3,3,
1879,19,899,35,3,3,
1884,21,556,35,7,115,
1898,24,526,35,7,119,
1898,24,526,35,7,50,
1912,21,741,35,7,119,
1913,31,741,35,7,74,
1913,31,741,35,7,144,
1914,NA,758,35,26,155,
1915,NA,556,35,9,52,
1916,23,556,35,2,330,
1917,NA,899,35,29,75,
1926,NA,556,35,9,387,
1926,NA,556,35,9,19,
1928,17,899,35,37,263,
1933,20,556,35,2,91,
1947,NA,899,35,26,147,
1949,25,770,35,21,120,G
1953,19,758,35,7,148,
1953,19,758,35,7,143,
1963,24,899,35,3,3,
1964,NA,758,35,26,65,
1966,25,526,35,26,102,
1975,NA,758,35,26,64,
1977,NA,1094,35,7,116,
1977,NA,1094,35,7,143,
1989,NA,831,35,26,65,
1996,NA,81,35,26,65,
1996,NA,81,35,26,64,
1997,NA,81,35,26,102,
2000,18,831,35,3,3,
2003,NA,758,35,26,65,
2009,21,556,35,24,57,
2009,21,556,35,24,58,
2023,33,758,35,11,352,
2031,21,758,35,7,116,
2031,21,758,35,7,143,
2043,NA,831,35,3,3,
2050,20,831,35,3,3,
2058,23,899,35,3,3,
2066,NA,899,35,26,155,
2067,21,556,35,24,56,
2067,21,556,35,24,105,
2069,22,899,35,3,3,
2071,18,556,35,2,312,
2087,18,899,35,26,64,
2105,NA,758,35,26,155,
2109,NA,899,35,24,56,
2110,NA,899,35,24,57,
2110,NA,899,35,24,58,
2124,23,831,35,3,3,
2130,NA,899,35,29,209,
2133,23,758,35,7,142,
2137,25,556,35,24,58,
2151,NA,831,35,26,64,
2155,NA,899,35,29,75,
2155,NA,899,35,29,209,
2158,20,758,35,7,50,
2159,16,758,35,7,119,
2159,16,758,35,7,143,
2162,NA,899,35,29,75,
2167,29,526,35,26,64,
2173,22,831,35,3,3,
2174,NA,758,35,26,147,
2178,NA,831,35,7,142,
2181,14,556,35,30,279,
2186,21,556,35,24,57,
2186,21,556,35,24,58,
2187,19,556,35,2,80,
2190,NA,899,35,26,64,
2199,19,899,35,24,56,
2224,54,45,35,26,155,
2298,33,45,35,25,62,
2298,33,45,35,25,403,
2311,20,1150,35,29,290,B
2345,24,705,35,29,209,
2396,23,656,35,7,74,
2398,20,656,35,29,75,
2398,20,656,35,29,209,
2401,27,982,35,7,332,
2415,19,982,35,9,150,
2415,19,982,35,9,187,
2451,23,511,35,29,382,
2459,22,982,35,31,237,
2561,39,419,35,26,94,
2589,24,362,35,2,312,B
2590,21,45,35,29,202,
2590,21,45,35,29,252,
2636,19,1096,35,1,1,G
2659,NA,81,35,26,64,
2674,21,308,35,18,194,
2689,NA,1094,35,7,101,
2694,25,770,35,21,120,G
2776,22,705,35,11,488,
2788,23,15,35,27,69,
2798,25,413,35,11,96,B
2800,40,413,35,26,180,B
2800,40,413,35,26,64,
2807,29,174,35,37,135,
2818,23,721,35,7,50,
2819,24,497,35,3,3,
2820,25,497,35,3,3,
2896,24,722,35,7,68,
2898,21,507,35,13,21,
2898,21,507,35,13,23,
2898,21,507,35,13,24,
2898,21,507,35,13,25,
2898,21,507,35,13,26,
2898,21,507,35,13,27,
2898,21,507,35,13,28,
2918,22,507,35,29,382,
3020,35,138,35,22,114,
3025,26,982,35,16,88,
3032,27,982,35,7,115,
